,Hotel_Names,Staff_Rating,Facilities_Rating,Cleanliness_Rating,Comfort_Rating,Value_For_Money_Rating,Location_Rating,Free_WiFi_Rating,Final_Grade
0,desert-view,9.4,9,8.9,9.2,9,9.1,9.2,8.9
1,eretz-zeelim,8.4,7.8,7.8,7.7,7.2,8.1,4.6,7.6
2,kibbutz-lotan-ecotourism,9.3,8,8.6,8.3,8.4,9,7.8,8.3
3,desert-iris,8.3,7.6,7.6,8.1,7.4,8.3,7.3,7.7
4,amazing-bedouin-hospitality,9.8,8.9,9.2,9,9.3,8.6,9.1,9.2
5,desertb,9.5,9.2,9.6,9.4,9,8.9,10,9.2
6,stlbt-bmdbr,9.8,9.5,9.6,9.6,9.4,9.3,9.4,9.2
7,art-house,9.4,9.4,9.7,9.7,9.6,9.5,8.8,9.4
8,pntzyh-bmdbr,9.8,8.6,9.2,8.9,9.1,9.3,7.5,9
9,motel-sunset,8.5,7.6,8,7.9,8.4,8,8,7.9
10,shamballa-ezuz,8.5,7.1,7.3,7.9,6.7,8.9,5,7.5
11,golden-tulip-negev,8.2,7.3,7.6,7.8,7,8.2,7.9,7.4
12,chalet-margo,9.4,8.4,9.5,8.8,8.7,9,7.5,8.6
13,xxxx-xc-x-xx,8.5,6.6,7.6,7.6,7.1,8.3,7.5,7.2
14,palms-hotel-eilat,8.8,8.1,8.4,8.4,8.2,7.8,8.1,8.2
15,motel-aviv,8.7,7.2,7.9,7.5,7.9,7.6,7.8,7.5
16,astral-seaside,8.4,7.8,8.1,8.2,7.8,9.3,7,7.9
17,sapir,8.2,7.3,8.3,7.6,7.6,8,7,7.5
18,comfort-hotel-eilat,7.8,6.9,7.2,7.2,7.5,7.3,7.8,7.1
19,arava-hostel,9.1,8.1,8.6,8.1,8.7,8.5,8.2,8.3
20,khvzt-nylbyts-39,8.5,7.8,8.4,8.2,8,8.8,9.8,8.2
21,americana-eilat,8.1,7,7.3,7.5,7.6,8.6,7.1,7.3
22,boutique-by-tzokim,9.3,8,8.7,8.5,7.8,8.3,8.9,8.1
23,astral-topaz,8.7,7.8,8.3,8.3,8.1,7.6,8.4,8
24,nova,8.2,7.1,7.5,7.6,7.5,7.1,8.1,7.3
25,the-beatles-amp-hostel,8.4,7.1,7.4,7,7.6,8.2,7.8,6.9
26,mr-soof-by-tlv2go,8.7,9.2,9.5,9.3,9,8.4,8.6,9
27,palma-diving-sea-view,8.2,7.8,7.9,7.7,8.1,8.7,7.5,7.8
28,royal-shangrila,8.6,8,8.1,8,7.8,8.3,10,8.1
29,astral-nirvana,8.6,7.4,7.5,7.5,7.5,7.3,7.8,7.3
30,classic-inn,7.6,7,7.5,7.4,7.6,7.6,7.5,7.3
31,guest-house-custo,8.3,7.7,8.3,8.1,8.3,8.1,8.7,7.9
32,orchid-reef,9.2,8.5,8.9,9,8.5,9,8.2,8.8
33,city-resort,7.9,8.2,7.6,8.3,8.3,8.9,8.8,8
34,kibbutz-eilot,8.9,8.2,8.8,8.5,8.5,9,6.7,8.4
35,prima-music-eilat,8.5,7.5,8,7.8,7.9,8.2,8.1,7.8
36,golden-tulip-privilege,8.5,8.1,7.9,8.1,8.1,8.8,7.6,8.1
37,orchid-resort-eilat,8.5,8,7.8,7.9,7.8,8.2,9.4,7.9
38,sunshine-delux-apartments,8.3,7.8,7.8,8.1,8.4,7.7,6.1,7.9
39,leonardo-plaza-eilat-ex-sheraton-moriah-plaza-eilat,8.6,7.8,7.9,8.3,7.6,9.3,7.3,8
40,midbarya-camping-eilat,8.4,8.2,8.2,8.3,8.3,8.8,7.5,8.3
41,city-suites,7.6,7.3,7.3,7.3,7.8,8.2,7.1,7.2
42,179-dyrvt-nvpsh,9.7,9.4,9.7,9.5,9.7,8.9,9.4,9.4
43,mali-country-hospitality-eilat,9.3,8.7,9.3,8.8,8.9,7.5,9.2,8.6
44,alaluf-sweet-home,0,0,0,0,0,0,0,8.3
45,villa-klara-eilat,9.5,8.8,9.3,8.8,9.1,9.4,9.4,8.9
46,magic-palace,9.2,8.7,8.9,8.9,8.6,9,8.5,8.8
47,vip-eilat-villa-for-a-dream-holiday,8.3,7.8,7.9,8.1,8.1,8.8,7.6,8
48,golf2,9.7,9.4,9.4,9.5,9.6,9.2,9.7,9.6
49,dead-sea-club-guest-house,9.5,9.4,9.6,9.3,9.3,8.9,8.8,9.3
50,vip-eilat-villa-for-a-dream-holiday,8.3,7.8,7.9,8.1,8.1,8.8,7.6,8
51,golf2,9.7,9.4,9.4,9.5,9.6,9.2,9.7,9.6
52,dead-sea-club-guest-house,9.5,9.4,9.6,9.3,9.3,8.9,8.8,9.3
53,lvnh-bngb,9.8,9.4,9.4,9.8,9.6,9.6,10,9.5
54,golden-tulip-club-eilat,8.8,8.3,8.3,8.4,8,8.4,8.3,8.2
55,royal-tulip,8.9,8.4,8.4,8.6,8.4,8.9,7.8,8.5
56,sunset-apartment-39-s-residence-du-golf,8.6,8.7,8.8,8.7,8.8,8.8,9.5,8.8
57,dayos-house,9.8,9.5,9.7,9.6,9.5,9,9.8,9.6
58,studio-n2-proche-plage,9.1,9,9.2,8.8,9.2,9.1,9.8,8.9
59,hawaii-luxury-suites,9.5,9.1,9.2,9.2,9.2,9,8.4,9.2
60,naot-farm,0,0,0,0,0,0,0,9.1
61,lesanel-guest-house,8.4,8.2,8.9,8.4,8.1,8.4,10,8.2
62,vrh-dyrvt-yrvkh,9.7,9.2,9.4,9.3,9.3,9,10,9.3
63,almog-eilat,8.6,8.2,8.5,8.5,8.7,7.4,8.6,8.3
64,herods-hotels-spa,8.5,8.5,8.5,8.7,7.8,9.2,8.4,8.4
65,apartment-in-amdar-residence,9.8,9.5,9.4,9.2,9.4,9.3,7.5,9.5
66,ros-apartment,9.5,9.5,9.7,9.4,9.4,9.1,8.9,9.4
67,herods-vitalis,9,8.6,8.7,9,7.7,9.3,8.7,8.6
68,hanna-39-s-place-gallery-great-location,9.7,9,9.5,9.1,8.9,8.9,9.6,9.2
69,u-coral-beach-club-eilat,9.5,9.1,9,9.1,9,8.9,9,9.2
70,herods-boutique,8.7,8.2,8.5,8.7,8,8.9,8.1,8.4
71,nice-place-eilat,7.8,6.4,6.8,7,7.6,8.7,4.6,6.9
72,dead-sea-yehuda-apartments,0,0,0,0,0,0,0,8.9
73,la-palmora-suites,8.5,7.9,7.3,7.9,7.5,9.1,7.9,7.8
74,khvvh-ykhydt-yrvkh,9.9,9.4,9.5,9.4,9.3,9.2,9.7,9.3
75,herods-vitalis,9,8.6,8.7,9,7.7,9.3,8.7,8.6
76,hanna-39-s-place-gallery-great-location,9.7,9,9.5,9.1,8.9,8.9,9.6,9.2
77,u-coral-beach-club-eilat,9.5,9.1,9,9.1,9,8.9,9,9.2
78,herods-boutique,8.7,8.2,8.5,8.7,8,8.9,8.1,8.4
79,nice-place-eilat,7.8,6.4,6.8,7,7.6,8.7,4.6,6.9
80,dead-sea-yehuda-apartments,0,0,0,0,0,0,0,8.9
81,la-palmora-suites,8.5,7.9,7.3,7.9,7.5,9.1,7.9,7.8
82,khvvh-ykhydt-yrvkh,9.9,9.4,9.5,9.4,9.3,9.2,9.7,9.3
83,beer-sheva-old-town-apartments-by-master,9.3,9.3,9.3,9.4,9,9.2,7.5,9.2
84,apartment-ground-5-minutes-walk-from-the-sea,9.1,8.7,8.8,8.6,8.5,8.6,10,8.5
85,ylt-blb,10,9.9,9.9,9.9,9.5,9.5,10,9.6
86,pina-bamidbar,0,0,0,0,0,0,0,9.3
87,new-appt-in-nice-residence-eilat,8.8,8.5,8.8,8.8,8.1,8.8,8.8,8.8
88,sea-view-coral-suite,9.8,9.7,9.6,9.7,9.2,8.7,9.5,9.5
89,the-view,9.4,8.6,9.2,8.7,8.9,8.1,10,8.7
90,boutique-suite-tal,9.9,9.7,9.9,9.8,9.6,8.7,10,9.6
91,luxury-yachts-in-eilat,9.9,9.5,9.6,9.5,9.4,9.3,8.8,9.4
92,dyrvt-hry-dvm,9.1,8.8,9,9,8.9,8.3,8.8,8.9
93,lev-eilat-apartments-4,9,7.7,7.9,7.9,8.4,8.7,8.8,8.1
94,lbnh-bmdbr,9.2,8.9,9.2,9.1,8.1,8.6,10,8.9
95,shoham,9.8,9.1,9.7,9.3,9.6,9,10,9.3
96,eilat-eilat1234,8.6,7.1,7.8,7.4,7.8,7.6,8.3,7.7
97,sweethome26-eillat-apt-with-jaccuzzi,9.5,9.2,8.9,9.4,9.1,9.5,9.4,9.2
98,caravan-in-the-desert,0,0,0,0,0,0,0,9.3
99,mors-place,8.4,7.5,7.7,7.7,7.9,7.7,6.5,7.5
100,new-the-luxe-suite-in-arad,0,0,0,0,0,0,0,9.7
101,stunning-3bdr-apt-prime-location-change-listing-preview-listing,0,0,0,0,0,0,0,8.9
102,amazing-duplex-4br-private-pool-with-gorgeous-sea-view,9.5,8.8,9.3,9.2,9,8.8,10,9.3
103,shohamseaview,9.9,9.8,9.8,9.9,9.6,9.6,10,9.8
104,mitzpush-premium-villa,9.8,9.4,9.8,9.9,8.7,9.3,10,9.5
105,cozy-home-suite-eilat,0,0,0,0,0,0,0,8
106,dy-bmdbr,9.7,9.2,9.3,9.2,9.1,9.6,10,9.2
107,avshalom-holiday-apartments,0,0,0,0,0,0,0,8.1
108,veronique-39-s-house,0,0,0,0,0,0,0,9.3
109,rom-hatayelet,0,0,0,0,0,0,0,7.8
110,a-beautiful-flat-in-the-of-beer-sheva,0,0,0,0,0,0,0,9.3
111,privte-pool-3bdr-sea-view,9.2,8.5,8.6,8.8,8.7,8.8,9.4,8.7
112,moab-palaces-rmvnvt-mvb,0,0,0,0,0,0,0,7.6
113,luxury-penthouse-with-fabulous-sea-view,0,0,0,0,0,0,0,10
114,amdar-casa,9.1,8.7,8.5,8.6,8.4,8.8,10,8.6
115,luxury-home-4br-with-private-pool-amp-jacuzzi-sea-view,9.5,9,9.3,9.4,9,9.4,10,9.1
116,vastu-dead-sea-apartment,9.5,8.9,9.4,9,8,8.7,10,8.7
